team,last,first,position,height_cm,height_in
USA,Turner,Matt,Goalkeeper,190,74.8031496062992
USA,Dest,Sergino,Defender,173,68.1102362204724
USA,Zimmerman,Walker,Defender,190,74.8031496062992
USA,Robinson,Antonee,Defender,182,71.6535433070866
USA,Ream,Tim,Defender,185,72.8346456692913
USA,Adams,Tyler,Midfield,175,68.8976377952756
USA,Musah,Yunus,Midfield,177,69.6850393700787
USA,McKennie,Weston,Midfield,185,72.8346456692913
USA,Pulisic,Christian,Attack,179,70.4724409448819
USA,Weah,Tim,Attack,182,71.6535433070866
USA,Sargent,Josh,Attack,185,72.8346456692913
Wales,Hennessey,Wayne,Goalkeeper,198,77.9527559055118
Wales,Williams,Neco,Defender,183,72.0472440944882
Wales,Davies,Ben,Defender,181,71.259842519685
Wales,Mepham,Chris,Defender,190,74.8031496062992
Wales,Rodon,Joe,Defender,193,75.9842519685039
Wales,Roberts,Connor,Defender,175,68.8976377952756
Wales,Wilson,Harry,Midfield,173,68.1102362204724
Wales,Ramsey,Aaron,Midfield,178,70.0787401574803
Wales,Ampadu,Ethan,Midfield,183,72.0472440944882
Wales,Bale,Gareth,Attack,186,73.2283464566929
Wales,James,Daniel,Attack,171,67.3228346456693
