team,last,first,position,height_cm,height_in
Wales,Hennessey,Wayne,Goalkeeper,198,78
Wales,Davies,Ben,Defender,181,71
Wales,Rodon,Joe,Defender,193,76
Wales,Mepham,Chris,Defender,190,75
Wales,Williams,Neco,Defender,183,72
Wales,Ramsey,Aaron,Midfield,178,70
Wales,Wilson,Harry,Midfield,173,68
Wales,Ampadu,Ethan,Midfield,183,72
Wales,Roberts,Connor,Defender,175,69
Wales,Bale,Gareth,Attack,186,73
Wales,James,Daniel,Attack,171,67
USA,Turner,Matt,Goalkeeper,190,75
USA,Dest,Sergino,Defender,173,68
USA,Zimmerman,Walker,Defender,190,75
USA,Adams,Tyler,Midfield,175,69
USA,Musah,Yunus,Midfield,177,70
USA,Pulisic,Christian,Attack,179,70
USA,Robinson,Antonee,Defender,182,72
USA,Yedlin,DeAndre,Defender,171,67
USA,Weah,Tim,Attack,182,72
USA,Morris,Jordan,Forward,183,72
USA,Roldan,Cristian,Midfielder,172,68
